Data for Problem #1
Mass Counts Error
0 98 9.8995
1 99 9.94987
2 111 10.5357
3 89 9.43398
4 102 10.0995
5 95 9.74679
6 95 9.74679
7 94 9.69536
8 99 9.94987
9 88 9.38083
10 100 10
11 90 9.48683
12 119 10.9087
13 101 10.0499
14 103 10.1489
15 92 9.59166
16 105 10.247
17 103 10.1489
18 100 10
19 109 10.4403
20 91 9.53939
21 108 10.3923
22 76 8.7178
23 98 9.8995
24 109 10.4403
25 73 8.544
26 106 10.2956
27 96 9.79796
28 95 9.74679
29 101 10.0499
30 107 10.3441
31 98 9.8995
32 86 9.27362
33 109 10.4403
34 112 10.583
35 108 10.3923
36 102 10.0995
37 97 9.84886
38 103 10.1489
39 100 10
40 103 10.1489
41 106 10.2956
42 98 9.8995
43 104 10.198
44 106 10.2956
45 93 9.64365
46 93 9.64365
47 101 10.0499
48 111 10.5357
49 102 10.0995
50 106 10.2956
51 101 10.0499
52 83 9.11043
53 89 9.43398
54 105 10.247
55 119 10.9087
56 108 10.3923
57 105 10.247
58 106 10.2956
59 94 9.69536
60 111 10.5357
61 83 9.11043
62 104 10.198
63 109 10.4403
64 97 9.84886
65 106 10.2956
66 113 10.6301
67 110 10.4881
68 109 10.4403
69 92 9.59166
70 90 9.48683
71 95 9.74679
72 91 9.53939
73 85 9.21954
74 99 9.94987
75 106 10.2956
76 92 9.59166
77 110 10.4881
78 92 9.59166
79 84 9.16515
80 102 10.0995
81 92 9.59166
82 99 9.94987
83 99 9.94987
84 91 9.53939
85 103 10.1489
86 104 10.198
87 112 10.583
88 95 9.74679
89 91 9.53939
90 94 9.69536
91 95 9.74679
92 94 9.69536
93 115 10.7238
94 107 10.3441
95 101 10.0499
96 116 10.7703
97 96 9.79796
98 108 10.3923
99 108 10.3923
